,n steps,ACC,ROC AUC,PR AUC,eps
36,36,0.011363636363636364,0.011013215859030812,0.48409090909090907,0.03162277660168379
37,37,0.01106060606060606,0.010719530102790031,0.48409090909090907,0.03162277660168379
38,38,0.010378787878787878,0.010058737151248165,0.48409090909090907,0.03162277660168379
39,39,0.010227272727272727,0.009911894273127775,0.48409090909090907,0.03162277660168379
40,40,0.00962121212121212,0.009324522760646103,0.48409090909090907,0.03162277660168379
41,41,0.009242424242424243,0.008957415565345073,0.48409090909090907,0.03162277660168379
42,42,0.00856060606060606,0.008296622613803206,0.48409090909090907,0.03162277660168379
43,43,0.00840909090909091,0.008149779735682816,0.48409090909090907,0.03162277660168379
44,44,0.00803030303030303,0.007782672540381785,0.48409090909090907,0.03162277660168379
45,45,0.007954545454545454,0.00770925110132159,0.48409090909090907,0.03162277660168379
46,46,0.007575757575757576,0.0073421439060205596,0.48409090909090907,0.03162277660168379
47,47,0.007272727272727273,0.007048458149779724,0.48409090909090907,0.03162277660168379
48,48,0.0069696969696969695,0.006754772393538888,0.48409090909090907,0.03162277660168379
49,49,0.007045454545454546,0.006828193832599139,0.48409090909090907,0.03162277660168379
50,50,0.006590909090909091,0.006387665198237913,0.48409090909090907,0.03162277660168379
0,0,0.7646212121212121,0.7645250356766149,0.6900351660988642,0.1778279410038923
1,1,0.7646212121212121,0.7645250356766149,0.6900351660988642,0.1778279410038923
2,2,0.455,0.44147587433558766,0.4778378943194761,0.1778279410038923
3,3,0.4040909090909091,0.39162995594713657,0.48409090909090907,0.1778279410038923
4,4,0.4112878787878788,0.3986049926578561,0.48409090909090907,0.1778279410038923
5,5,0.37227272727272726,0.3607929515418502,0.48409090909090907,0.1778279410038923
6,6,0.3787121212121212,0.36703377386196767,0.48409090909090907,0.1778279410038923
7,7,0.3433333333333333,0.3327459618208517,0.48409090909090907,0.1778279410038923
8,8,0.34984848484848485,0.33906020558002936,0.48409090909090907,0.1778279410038923
9,9,0.31727272727272726,0.30748898678414094,0.48409090909090907,0.1778279410038923
10,10,0.32022727272727275,0.310352422907489,0.48409090909090907,0.1778279410038923
11,11,0.2896969696969697,0.28076358296622617,0.48409090909090907,0.1778279410038923
12,12,0.29333333333333333,0.284287812041116,0.48409090909090907,0.1778279410038923
13,13,0.2653787878787879,0.2571953010279001,0.48409090909090907,0.1778279410038923
14,14,0.2706818181818182,0.26233480176211454,0.48409090909090907,0.1778279410038923
15,15,0.24409090909090908,0.23656387665198236,0.48409090909090907,0.1778279410038923
16,16,0.24462121212121213,0.23707782672540384,0.48409090909090907,0.1778279410038923
17,17,0.22045454545454546,0.21365638766519823,0.48409090909090907,0.1778279410038923
18,18,0.22295454545454546,0.216079295154185,0.48409090909090907,0.1778279410038923
19,19,0.2009848484848485,0.19478707782672539,0.48409090909090907,0.1778279410038923
20,20,0.20106060606060605,0.19486049926578564,0.48409090909090907,0.1778279410038923
21,21,0.18787878787878787,0.18208516886930987,0.48409090909090907,0.1778279410038923
22,22,0.1828030303030303,0.17716593245227608,0.48409090909090907,0.1778279410038923
23,23,0.16962121212121212,0.1643906020558003,0.48409090909090907,0.1778279410038923
24,24,0.16856060606060605,0.1633627019089574,0.48409090909090907,0.1778279410038923
25,25,0.15386363636363637,0.14911894273127752,0.48409090909090907,0.1778279410038923
26,26,0.15636363636363637,0.15154185022026434,0.48409090909090907,0.1778279410038923
27,27,0.14295454545454545,0.13854625550660793,0.48409090909090907,0.1778279410038923
28,28,0.1425,0.1381057268722467,0.48409090909090907,0.1778279410038923
29,29,0.13098484848484848,0.12694566813509545,0.48409090909090907,0.1778279410038923
30,30,0.13295454545454546,0.1288546255506608,0.48409090909090907,0.1778279410038923
31,31,0.12446969696969697,0.12063142437591778,0.48409090909090907,0.1778279410038923
32,32,0.12227272727272727,0.1185022026431718,0.48409090909090907,0.1778279410038923
33,33,0.11840909090909091,0.11475770925110135,0.48409090909090907,0.1778279410038923
34,34,0.11356060606060606,0.11005873715124814,0.48409090909090907,0.1778279410038923
